Date,CuAu_Ratio
2000-08-30,0.0032311062803372197
2000-08-31,0.0031800216646851623
2000-09-01,0.0032093862764241464
2000-09-05,0.003284989333646771
2000-09-06,0.003287745975619773
2000-09-07,0.0033065694091963943
2000-09-08,0.003336992466928681
2000-09-11,0.0033430976462745705
2000-09-12,0.0034023452452488358
2000-09-13,0.0033999268733128914
2000-09-14,0.0033975770793629578
2000-09-15,0.0033786267276250553
2000-09-18,0.0033843037098564245
2000-09-19,0.003389113820762145
2000-09-20,0.0033513010656080282
2000-09-21,0.0034239734275910306
2000-09-22,0.003383002334881144
2000-09-25,0.003381977254760202
2000-09-26,0.003346111693196385
2000-09-27,0.0032776582034737644
2000-09-28,0.0033055152147176223
2000-09-29,0.0033461256023206076
2000-10-02,0.003277187700198269
2000-10-03,0.0033081738036851212
2000-10-04,0.0033166852826630117
2000-10-05,0.0033610494543488733
2000-10-06,0.0033587079414379773
2000-10-09,0.0033043315925311363
2000-10-10,0.0033131424155498266
2000-10-11,0.003321626710803584
2000-10-12,0.003181982602344024
2000-10-13,0.0032654186558922285
2000-10-16,0.0032836095623768055
2000-10-17,0.003247879006909513
2000-10-18,0.0032186461119440815
2000-10-19,0.0032247314780139555
2000-10-20,0.003171091355440647
2000-10-23,0.0032043685810411162
2000-10-24,0.003193261726881918
2000-10-25,0.003194965997750504
2000-10-26,0.003129482881412421
2000-10-27,0.003182677774923969
2000-10-30,0.0031876655705701997
2000-10-31,0.0031955454850889544
2000-11-01,0.003156498763005964
2000-11-02,0.003161876114110929
2000-11-03,0.0031594860392607596
2000-11-06,0.0031190925825295692
2000-11-07,0.003134695463812363
2000-11-08,0.0031490566595545355
2000-11-09,0.003152746568882012
2000-11-10,0.0031625708470047085
2000-11-13,0.003098751583611817
2000-11-14,0.0031181577736360605
2000-11-15,0.0031158051911999323
2000-11-16,0.003079383069778595
2000-11-17,0.0030937146742107983
2000-11-20,0.0030867445151440765
2000-11-21,0.0031200600605895074
2000-11-22,0.0030773566152927337
2000-11-27,0.00313402428866137
2000-11-28,0.0031912529295264483
2000-11-29,0.0031981982643127043
2000-11-30,0.0031136616123647372
2000-12-01,0.0031987344692707195
2000-12-04,0.003178795490438991
2000-12-05,0.003213757534238884
2000-12-06,0.0031972293593856074
2000-12-07,0.0032155927726514257
2000-12-08,0.0032604700524555886
2000-12-11,0.0032920058539929347
2000-12-12,0.0032685905285705736
2000-12-13,0.0032781087065847413
2000-12-14,0.0033048327084367604
2000-12-15,0.0032267012650828673
2000-12-18,0.0032424914240036526
2000-12-19,0.003240637646703887
2000-12-20,0.0031669723878213025
